title,artist,nationality,gender,artist_birth_date,artist_death_date,artwork_begin_date,artwork_end_date,moma_department
"Untitled. (portrait of man with dark glasses, Heino?)",Michael Schmidt,German,Male,1945,2014,1991,1994,Photography
Fortune,Kiki Smith,American,Female,1954,,2008,2008,Prints & Illustrated Books
"Meeting Street, Charleston, South Carolina, August 3, 1975",Stephen Shore,American,Male,1947,,1975,1975,Photography
Cover for Old Stories (Les Vieilles Histoires),Henri de Toulouse-Lautrec,French,Male,1864,1901,1893,1893,Prints & Illustrated Books
Untitled,Willem de Kooning,American,Male,1904,1997,1966,1966,Drawings
"Double page plate (folios 14 and 15) from AMISH, Volume II",Stephen White,American,Male,1948,,1968,1969,Prints & Illustrated Books
Are You Rea #17,Robert Heinecken,American,Male,1931,2006,1964,1968,Photography
Headpiece (page 93) from PASSION,Georges Rouault,French,Male,1871,1958,1928,1939,Prints & Illustrated Books
Bar Tools,Studio Opi,Italian,Other/Unknown,1955,,1969,1969,Architecture & Design
Multi-use Rocker Prototype,Frederick Kiesler,American,Male,1890,1965,1942,1942,Architecture & Design
Cascade Mountains,Lee Friedlander,American,Male,1934,,1980,1980,Photography
Japanese House in the Garden of the Museum of Modern Art,Ezra Stoller,American,Male,1915,2004,1955,1955,Architecture & Design
"Neue Wache War Memorial Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,American,Male,1886,1969,1930,1930,Architecture & Design
[History of Art Chart],George Maciunas,American,Male,1931,1978,1955,1960,Prints & Illustrated Books
Bagatelle,Eugène Atget,French,Male,1857,1927,1922,1922,Photography
MR1002 Flower stand (Plan and detail sections),Ludwig Mies van der Rohe,American,Male,1886,1969,1934,1934,Architecture & Design
FONTAINEBLEAU. COUR CHEVAL BLANC,Eugène Atget,French,Male,1857,1927,1903,1903,Photography
The Toe Tactic,Emily Hubley,American,Female,1958,,2008,2008,Film
"Paper Piece, Festival of Misfits, ICA, London, October 23- November 8, 1962",Benjamin Patterson,American,Male,1934,2016,1962,1962,Prints & Illustrated Books
"Taliesin Fellowship Complex, Midway Farm, Spring Green, WI (Plan and elevation of tower and weather vane)",Frank Lloyd Wright,American,Male,1867,1959,1944,1944,Architecture & Design
The Navy Needs You! Don't Read American History - Make It! U.S. Navy Recruiting Station,James Montgomery Flagg,American,Male,1877,1960,1914,1918,Architecture & Design
Untitled,Carey Maxon,American,Female,1978,,2003,2003,Drawings
Untitled from Program,Jorge Pardo,American,Male,1963,,2012,2012,Prints & Illustrated Books
Plate (folio 8) from LE STANZE OSCURE,Cesare Peverelli,Italian,Male,1922,2000,1965,1965,Prints & Illustrated Books
Photographic Views and Studies of Canadian Scenery,Alexander Henderson,Canadian,Male,1831,1913,1865,1865,Photography
"Georgetown County Court House, Georgetown, South Carolina, February 20, 1976",Stephen Shore,American,Male,1947,,1976,1976,Photography
"Meudon, ancien château",Eugène Atget,French,Male,1857,1927,1902,1902,Photography
Bright Leaves,Ross McElwee,,Male,,,2003,2003,Film
A Mounatin Called Desire (Una Montaña llamada deseo),Sandra Vásquez de la Horra,Chilean,Female,1967,,2010,2010,Drawings
Plate XLVII from the Barcelona Series,Joan Miró,Spanish,Male,1893,1983,1944,1944,Prints & Illustrated Books
Canto VI from 18 Cantos,Barnett Newman,American,Male,1905,1970,1963,1963,Prints & Illustrated Books
Chagres River from the Fort,Eadweard J. Muybridge,American,Male,1830,1904,1875,1875,Photography
"Men of Air, New York",Robert Frank,American,Male,1924,,1948,1948,Photography
William Eggleston and Friend,Lee Friedlander,American,Male,1934,,1990,1990,Photography
Seated Nude,Fernand Léger,French,Male,1881,1955,1913,1913,Drawings
"Extraordinary Contorted ""Marble Cake"" Moraine of Susitna Glacier, Central Alaska",Bradford Washburn,American,Male,1910,2007,1958,1958,Photography
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Floor plan)",Ludwig Mies van der Rohe,American,Male,1886,1969,1921,1921,Architecture & Design
Ouray from Copper Series,Frank Stella,American,Male,1936,,1970,1970,Prints & Illustrated Books
Bodies of Women (Corps de dames),Jean Dubuffet,French,Male,1901,1985,1950,1950,Prints & Illustrated Books
Ear,Louise Bourgeois,American,Female,1911,2010,2004,2004,Prints & Illustrated Books
Pablo Picasso,Man Ray (Emmanuel Radnitzky),American,Male,1890,1976,1926,1926,Photography
Plate (folio 43) from ADVENTURES IN KU-TA-BA WA-DO,Gerald Jackson,American,Male,1943,,1973,1973,Prints & Illustrated Books
RETURN FROM TOIL,John Sloan,American,Male,1871,1951,1915,1915,Prints & Illustrated Books
Ears,Louise Bourgeois,American,Female,1911,2010,2003,2003,Prints & Illustrated Books
Blue Jean from AGPA 73: Pan American Graphic Arts (AGPA 73: Artes gráficas panamericanas),Miguel Angel Rojas,Colombian,Male,1946,,1973,1973,Prints & Illustrated Books
J.A.B. AND HIS UMBRELLA,Stephen Scheer,American,Male,1954,,1986,1986,Photography
Tube,Roman Signer,Swiss,Male,1938,,1982,1982,Media and Performance Art
In-text plate (page 78) from LYSISTRATA,František Kupka,Czech,Male,1871,1957,1908,1911,Prints & Illustrated Books
"German People - German Work Exhibit, Berlin, Germany, Installation of the vitrine for crystal glass. Elevation, plan, and sections.",Lilly Reich,German,Female,1885,1947,1934,1934,Architecture & Design
Plate (page 44) from PARADISE GARDEN,Sidney Nolan,Australian,Male,1917,1992,1971,1971,Prints & Illustrated Books
"SALUTATIONS, SENOR!","George Overbury (""Pop"") Hart",American,Male,1868,1933,1926,1926,Prints & Illustrated Books
NUMBER 12,Antoni Tàpies,Spanish,Male,1923,2012,1960,1960,Prints & Illustrated Books
"50,000 Meals Served (50,000 Cubiertos)",José Chávez Morado,Mexican,Male,1909,2002,1939,1939,Prints & Illustrated Books
In-text plate (page 68) from LE VOYAGE D'URIEN,Maurice Denis,French,Male,1870,1943,1893,1893,Prints & Illustrated Books
Kaleidoscope #2 (Furnishing fabric),Herbert Bayer,American,Male,1900,1985,1952,1952,Architecture & Design
Nations,Slavs and Tatars,,Other/Unknown,2005,,2007,2007,Prints & Illustrated Books
"THE WINE PRESS IN OPEN AIR (plate; volume I, page 147) from LES GÉORGIQUES (GEORGICA)",André Dunoyer de Segonzac,French,Male,1884,1974,1933,1947,Prints & Illustrated Books
"The Brown Sisters, Marblehead, Massachusetts",Nicholas Nixon,American,Male,1947,,1995,1995,Photography
Linear Still Life,William Scott,British,Male,1913,1989,1973,1973,Drawings
Blind Man and His Son (Homem cego e seu filho),Candido Portinari,Brazilian,Male,1903,1962,1939,1939,Prints & Illustrated Books
"Street, Berlin",Ernst Ludwig Kirchner,German,Male,1880,1938,1913,1913,Painting & Sculpture
The Song of the Shirt,David Wark Griffith,American,Male,1874,1948,1908,1908,Film
Architecture Panoramas,Jan Dibbets,Dutch,Male,1941,,1971,1971,Photography
Kazimierz Malewicz 1876-1935,Wladyslaw Strzemiński,Polish,Male,1893,1952,1936,1936,Prints & Illustrated Books
"Ausstellung Galerie St. Stephen Wien, Images Meditatives",Winfred Gaul,German,Male,1928,2003,1960,1960,Architecture & Design
Hospital Event Label,George Maciunas,American,Male,1931,1978,1975,1975,Prints & Illustrated Books
"Washington, D.C.",Lee Friedlander,American,Male,1934,,1976,1976,Photography
Deeparture,Mircea Cantor,Romanian,Male,1977,,2005,2005,Media and Performance Art
Programy skolskeho rozhlasu,Augustin Tschinkel,Czech,Male,1905,,1933,1933,Architecture & Design
Plate (folio 19) from KAFKA,Roger Chancel,French,Male,1898,1976,1957,1957,Prints & Illustrated Books
Lassaw at Kootz Gallery,Elaine Lustig Cohen,American,Female,1927,2016,1960,1960,Architecture & Design
"Untitled, from Eurana Park, Weatherly, Pennsylvania",Judith Joy Ross,American,Female,1946,,1982,1982,Photography
"View from Hotel Window--Butte, Montana",Robert Frank,American,Male,1924,,1956,1956,Photography
"CUPID SHOOTS THE WOMAN FROM HAMBURG IN THE STOMACH (in-text plate, page 20) from AUS DEN MEMOIREN DES HERRN VON SCHNABELEWOPSKY",Jules Pascin,American,Male,1885,1930,1910,1910,Prints & Illustrated Books
UNTITLED (SQUARE YELLOW SPIRAL),Paul Thek,American,Male,1933,1988,1983,1983,Drawings
In-text plate (folio 5) from THE DONKEY AND THE DARLING,Larry Rivers,American,Male,1923,2002,1968,1977,Prints & Illustrated Books
So What!,Christian Fossier,French,Male,1943,2013,1969,1969,Prints & Illustrated Books
"Plate 8 (in-text plate, folio 18) from UN SOUPÇON",Michel Guino,French,Male,1926,2013,1965,1965,Prints & Illustrated Books
Trinket,Arthur B. Davies,American,Male,1862,1928,1919,1920,Prints & Illustrated Books
"SOBAKÉVITCH AT THE TABLE, plate XXXVI (facing page 130) from LES ÂMES MORTES",Marc Chagall,French,Male,1887,1985,1923,1948,Prints & Illustrated Books
Untitled (white lines),Lauretta Vinciarelli,Italian,Female,1943,2012,1973,1973,Architecture & Design
"GALATEA PLAYING IN WATER (in-text plate, page 68) from LES ÉGLOGUES",Aristide Maillol,French,Male,1861,1944,1912,1926,Prints & Illustrated Books
Mrs. Beatrice Baxter Ruyl and Infant,Gertrude Käsebier,American,Female,1852,1934,1905,1905,Photography
"Plate (folio 12, duplicate of folio 10 woodcut) from Vingt-cinq poèmes",Jean (Hans) Arp,French,Male,1886,1966,1918,1918,Prints & Illustrated Books
Topiary,Louise Bourgeois,American,Female,1911,2010,1997,1997,Drawings
"Ruins of the Church of Las Monjas, Old Panama",Eadweard J. Muybridge,American,Male,1830,1904,1875,1875,Photography
FONTAINE MOLIÈRE. RUE RICHELIEU. PAR VISCONTI ET PRADIER,Eugène Atget,French,Male,1857,1927,1907,1907,Photography
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,American,Male,1886,1969,1926,1946,Architecture & Design
Ileana from Ruminations,Robert Rauschenberg,American,Male,1925,2008,1999,1999,Prints & Illustrated Books
Luz Seated (to the right),Jean Charlot,American,Male,1898,1979,1929,1929,Prints & Illustrated Books
"Untitled, from the series Come Sunday",Thomas Roma,American,Male,1950,,1991,1994,Photography
"Black Panther children in a classroom at the Intercommunal Youth Institute, the Black Panther school, Oakland, California",Stephen Shames,American,Male,1947,,1971,1971,Photography
Wear Your Goggles,Pat Keely,British,Male,,,1942,1942,Architecture & Design
Ballet poster,André Masson,French,Male,1896,1987,1933,1933,Architecture & Design
Fingerprint,Robert Watts,American,Male,1923,1988,1965,1965,Prints & Illustrated Books
El Frente Popular de Madrid Al Frente Popular del Mundo - Homenaje a Las Brigadas Internacionales,J. Briones,Spanish,Other/Unknown,,,1936,1937,Architecture & Design
Untitled from Woodcuts,Thomas Schütte,German,Male,1954,,2011,2011,Prints & Illustrated Books
"PSALM 122, plate 27 (page 61) from PSAUMES DE DAVID",Marc Chagall,French,Male,1887,1985,1978,1979,Prints & Illustrated Books
New York I,Aaron Siskind,American,Male,1903,1991,1951,1951,Photography
"Weissenhof Housing Colony Master Plan, ""The Dwelling,"" Stuttgart, Germany, Site elevation study from east",Ludwig Mies van der Rohe,American,Male,1886,1969,1926,1926,Architecture & Design
Ode à l'Oubli,Louise Bourgeois,American,Female,1911,2010,2004,2004,Prints & Illustrated Books
Two Figures,Max Weber,American,Male,1881,1961,1919,1920,Prints & Illustrated Books
Instruction No. 2 from Fluxkit,Benjamin Patterson,American,Male,1934,2016,1965,1966,Prints & Illustrated Books
Untitled,Unknown,,Other/Unknown,,,1923,1951,Photography
In-text plate (folio 8) from The Adventures of a Novel in Four Chapters,Bruce Conner,American,Male,1933,2008,1991,1991,Prints & Illustrated Books
Headpiece (page 17) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,French,Male,1871,1958,1916,1932,Prints & Illustrated Books
"Cloud Rock (plate, page 78) from 1¢ Life",Sam Francis,American,Male,1923,1994,1964,1964,Prints & Illustrated Books
Untitled from an untitled portfolio,Mateo Manaure,Venezuelan,Male,1926,2018,1969,1969,Prints & Illustrated Books
Untitled from Traces of anonymous pupil authors,Haegue Yang,Korean,Female,1971,,2001,2001,Prints & Illustrated Books
Tailpiece (page 81) from ODES,André Derain,French,Male,1880,1954,1953,1953,Prints & Illustrated Books
Salt Lake City,Lee Friedlander,American,Male,1934,,1965,1965,Photography
Château de Bagatelle,Eugène Atget,French,Male,1857,1927,1913,1913,Photography
Tailpiece (page 171) from L'ODYSSÉE,Émile Bernard,French,Male,1868,1941,1930,1930,Prints & Illustrated Books
The Orchestra,Walter Richard Sickert,British,Male,1860,1942,1900,1910,Prints & Illustrated Books
"Untitled, no. 1 of 12, from the illustrated book, To Whom It May Concern",Louise Bourgeois,American,Female,1911,2010,2010,2010,Prints & Illustrated Books
Untitled from Farewell,Moshe Gershuni,Israeli,Male,1936,2017,1992,1992,Prints & Illustrated Books
"Midway Gardens, Chicago, IL",Frank Lloyd Wright,American,Male,1867,1959,1913,1913,Architecture & Design
"DEATH OF MOSES, plate 41 (volume, folio 90) from the BIBLE",Marc Chagall,French,Male,1887,1985,1931,1956,Prints & Illustrated Books
She-Paul-A-Wee,William Henry Jackson,American,Male,1843,1942,1875,1875,Photography
Volcano,Roman Signer,Swiss,Male,1938,,1989,1989,Media and Performance Art
Palmolive,George Brecht,American,Male,1926,2008,1962,1962,Prints & Illustrated Books
Untitled from Andy Warhol Doesn't Play Second Base for the Chicago Cubs,Kelley Walker,American,Male,1969,,2010,2010,Prints & Illustrated Books
Portrait of Mies from Fluxus 1,George Maciunas,American,Male,1931,1978,1964,1964,Prints & Illustrated Books
Great Builders II,Jean Charlot,American,Male,1898,1979,1927,1927,Prints & Illustrated Books
Motherfucker from The Bad Habits,Lisa Yuskavage,American,Female,1962,,1997,1997,Prints & Illustrated Books
"Entrance to Rockcut Dwelling, Bandelier National Monument",William R. Current,American,Male,1923,,1962,1962,Photography
Three Kids and a Sled,Philip Fein,American,Male,1912,1994,1940,1940,Photography
Study of Kuang Kung,Seong Moy,American,Male,1921,2013,1952,1952,Prints & Illustrated Books
Abacus (Furnishing fabric),Paul Rand,American,Male,1914,1996,1946,1946,Architecture & Design
Venezuela,Dorothea Lange,American,Female,1895,1965,1960,1960,Photography
"Ancien Couvent des Bénédictins anglais, 269 bis rue Saint-Jacques",Eugène Atget,French,Male,1857,1927,1900,1900,Photography
Sky Backdrop,Alex Israel,American,Male,1982,,2013,2013,Painting & Sculpture
Union der Sozialistischen Sowjet-Republiken: Pressa Köln (Union of Socialist Soviet Republics),El Lissitzky,Russian,Male,1890,1941,1928,1928,Prints & Illustrated Books
New York City,Lee Friedlander,American,Male,1934,,1978,1978,Photography
Progressive IV for VENTRILOQUIST,Jasper Johns,American,Male,1930,,1986,1986,Prints & Illustrated Books
Untitled,Eugène Atget,French,Male,1857,1927,1899,1900,Photography
Plate (facing page 118) from SAINTE MONIQUE,Pierre Bonnard,French,Male,1867,1947,1920,1930,Prints & Illustrated Books
Museum,Peter Blume,American,Male,1906,1992,1932,1932,Drawings
Folio,Terry Winters,American,Male,1949,,1985,1986,Prints & Illustrated Books
Duino,César Paternosto,Argentine,Male,1931,,1966,1966,Painting & Sculpture
Unmade Bed,Joe Goode,American,Male,1937,,1968,1968,Painting & Sculpture
#2 from an untitled series,Larry Bell,American,Male,1939,,1974,1974,Prints & Illustrated Books
Untitled from Notes on a Room,Richard Artschwager,American,Male,1923,2013,1998,1998,Prints & Illustrated Books
Untitled,Dan McCarthy,American,Male,1962,,2000,2000,Drawings
Untitled,Wade Guyton,American,Male,1972,,2006,2006,Painting & Sculpture
"French Embassy Staff Quarters, New Delhi, India",Raj Rewal,Indian,Male,1934,,1967,1967,Architecture & Design
Plate (folio 9) from HIOB,Hella Fischer-Thorer,German,Female,1928,1978,1965,1965,Prints & Illustrated Books
Z. I. Gorbovets. Graviury na dereve,Zinovii Gorbovets,,Other/Unknown,,,1927,1927,Prints & Illustrated Books
Lapeyrouse Wall,Peter Doig,British,Male,1959,,2004,2004,Painting & Sculpture
The Language of Fashion (El lenguaje de la moda),Juan Luis Martinez,Chilean,Male,1942,1993,1979,1979,Drawings
Adam,Amedeo Modigliani,Italian,Male,1884,1920,1916,1916,Drawings
Untitled from Pisueña,Juan Uslé,Spanish,Male,1954,,2009,2009,Prints & Illustrated Books
Roberta's Excorcism Flower Arrangements,Lynn Hershman Leeson,American,Female,1941,,1978,1978,Photography
(Number 1 of a newspaper campaign),Karl Gerstner,Swiss,Male,1930,,1964,1964,Architecture & Design
Untitled,Nathan Lyons,American,Male,1930,2016,1958,1958,Photography
Femme de Verrières,Eugène Atget,French,Male,1857,1927,1872,1927,Photography
Public Sculptures in Public Places,Bob Cato,Nationality Unknown,Male,1923,,1967,1967,Architecture & Design
Double page plate (pages 20 and 21) from TAGEBÜCHER,Antonio Saura,Spanish,Male,1930,1998,1988,1988,Prints & Illustrated Books
Plate (page 215) from LES PETITES FLEURS,Émile Bernard,French,Male,1868,1941,1928,1928,Prints & Illustrated Books
Untitled from the series 'Ten Thousand Things That Breathe',Renato Orara,American,Male,1961,,2003,2003,Drawings
Jardin de Luxembourg,Pavel Tchelitchew,American,Male,1898,1957,1923,1924,Drawings
Vocal Group Niji,Tadanori Yokoo,Japanese,Male,1936,,1964,1964,Architecture & Design
Untitled,Unknown,,Other/Unknown,,,1900,1900,Photography
Sex Pistols Flyer,Jamie Reid,British,Male,1947,,1975,1975,Architecture & Design
Milk Stone,Wolfgang Laib,German,Male,1950,,1978,1978,Painting & Sculpture
"ECCE HOMO, plate XVIII (folio 21) from SCÈNES DE LA VIE DU CHRIST",James Ensor,Belgian,Male,1860,1949,1913,1921,Prints & Illustrated Books
(Portrait),Alfred Capel Cure,British,Male,1826,1896,1826,1896,Photography
Upholstery Material,Anni Albers,American,Female,1899,1994,1929,1929,Architecture & Design
Double page fold-out plate (folios 17 and 18) from PICCOLO CIRCOLO CHIUSO,Mimmo Paladino,Italian,Male,1948,,1991,1991,Prints & Illustrated Books
The Unfinished Conversation,John Akomfrah,British,Male,1957,,2012,2012,Media and Performance Art
In-text plate (page 138) from CIRQUE DE L'ÉTOILE FILANTE,Georges Rouault,French,Male,1871,1958,1926,1938,Prints & Illustrated Books
Nancy,Nancy Hellebrand,American,Female,1944,,1982,1982,Photography
Untitled. (man with a fish),Dorothea Lange,American,Female,1895,1965,1963,1963,Photography
TARGET from an untitled portfolio,Ronald Markman,American,Male,1931,,1962,1963,Prints & Illustrated Books
Schema I: Construction of Axes of a Model; Schema II: Cubist Structure (Construction); and Schema III: Cubist Constructed Drawing from On New Systems in Art (O Novykh Sistemakh Visk Usstve),Kazimir Malevich,Russian,Male,1878,1935,1919,1919,Prints & Illustrated Books
Light Trails,William Wegman,American,Male,1943,,1970,1971,Media and Performance Art
